iter	RMSE
0	14.00670553
1	13.90886873
2	13.81438758
3	13.72625952
4	13.63829801
5	13.54807245
6	13.47817859
7	13.39760323
8	13.31758505
9	13.26265804
10	13.19640983
11	13.143839
12	13.10270014
13	13.04337695
14	12.99774424
15	12.94454822
16	12.89564594
17	12.85406993
18	12.81134206
19	12.76500332
20	12.72928953
21	12.69188423
22	12.64627175
23	12.61067078
24	12.57518045
25	12.5632385
26	12.52553794
27	12.50272697
28	12.46945746
29	12.44136753
30	12.411903
31	12.38781996
32	12.36755994
33	12.35339288
34	12.33045285
35	12.31518691
36	12.30477298
37	12.28362606
38	12.27433163
39	12.25951172
40	12.23743795
41	12.21568574
42	12.19613665
43	12.17785587
44	12.1584409
45	12.14211612
46	12.12878267
47	12.11370936
48	12.09803273
49	12.07729861
50	12.06512307
51	12.04923267
52	12.04593351
53	12.03152102
54	12.01925671
55	12.00883301
56	11.99804599
57	11.99673818
58	11.98263093
59	11.96995295
60	11.95855793
61	11.94605623
62	11.93447177
63	11.92516228
64	11.9179587
65	11.90551028
66	11.9013718
67	11.88934475
68	11.88210385
69	11.87765476
70	11.86741695
71	11.86688009
72	11.85394799
73	11.84782179
74	11.83849065
75	11.83081399
76	11.82551368
77	11.81710857
78	11.80869867
79	11.80257896
80	11.79304855
81	11.78391209
82	11.78338834
83	11.77477912
84	11.77316647
85	11.76394829
86	11.76119533
87	11.76059696
88	11.75464696
89	11.74632449
90	11.73864627
91	11.73113513
92	11.72387116
93	11.71643101
94	11.71417591
95	11.71246627
96	11.70918645
97	11.70808164
98	11.70155393
99	11.69797394
100	11.69282056
101	11.69209467
102	11.68305038
103	11.68224407
104	11.67693863
105	11.67593213
106	11.67195551
107	11.66370029
108	11.65908042
109	11.65304112
110	11.64504218
111	11.64093365
112	11.63771187
113	11.63218021
114	11.62479696
115	11.62127758
116	11.61688757
117	11.61257168
118	11.6058501
119	11.60455541
120	11.60084716
121	11.59545606
122	11.58753165
123	11.58277361
124	11.58185364
125	11.57627827
126	11.57614551
127	11.57256816
128	11.56623203
129	11.56433062
130	11.5598915
131	11.55495021
132	11.55462275
133	11.55015379
134	11.54705464
135	11.54346711
136	11.53997777
137	11.53928877
138	11.53613932
139	11.53245758
140	11.53073354
141	11.52655595
142	11.52605944
143	11.52218873
144	11.51940037
145	11.51886848
146	11.51612885
147	11.50993574
148	11.50557597
149	11.499375
150	11.49435008
151	11.49002458
152	11.4845687
153	11.48367499
154	11.48046462
155	11.47807525
156	11.47772926
157	11.47185739
158	11.46834096
159	11.46475766
160	11.4612666
161	11.45757353
162	11.45522466
163	11.45192704
164	11.44839159
165	11.44757786
166	11.44706346
167	11.44695573
168	11.44395866
169	11.43931457
170	11.43574709
171	11.43363085
172	11.43125158
173	11.42659096
174	11.42246166
175	11.41902822
176	11.41901348
177	11.41584519
178	11.41226794
179	11.40973047
180	11.40853558
181	11.40652437
182	11.40345647
183	11.40154633
184	11.40153209
185	11.39806018
186	11.39333215
187	11.3883322
188	11.3849033
189	11.38363081
190	11.38351926
191	11.38049734
192	11.376072
193	11.37517663
194	11.37504823
195	11.37263294
196	11.36966129
197	11.36699914
198	11.36166959
199	11.35671757
200	11.35429331
201	11.35234573
202	11.34840692
203	11.3472633
204	11.34499105
205	11.33940891
206	11.33615022
207	11.3333277
208	11.32917154
209	11.32746669
210	11.325867
211	11.32297519
212	11.32024234
213	11.31728045
214	11.3137929
215	11.31162898
216	11.30790371
217	11.30472874
218	11.30229515
219	11.30005788
220	11.29830477
221	11.29488777
222	11.29271625
223	11.2885221
224	11.28631233
225	11.28494351
226	11.28205133
227	11.28183367
228	11.28007346
229	11.27711687
230	11.27440377
231	11.27221698
232	11.26984013
233	11.26767692
234	11.26450338
235	11.26230936
236	11.25971664
237	11.25759135
238	11.2530929
239	11.25067962
240	11.24868392
241	11.24555545
242	11.24289477
243	11.24100353
244	11.2393433
245	11.2366699
246	11.23492412
247	11.23134645
248	11.22968276
249	11.22669409
250	11.22503542
251	11.22225863
252	11.22085527
253	11.21844041
254	11.21680888
255	11.21561191
256	11.21351294
257	11.21196594
258	11.20875969
259	11.20668573
260	11.20424442
261	11.20173618
262	11.19871111
263	11.19743878
264	11.19554925
265	11.19452662
266	11.19276496
267	11.18986327
268	11.1886993
269	11.18631311
270	11.18412719
271	11.1822777
272	11.1798589
273	11.17840827
274	11.17701658
275	11.17552866
276	11.17417477
277	11.17183203
278	11.17070792
279	11.17004407
280	11.16786685
281	11.16624599
282	11.16536384
283	11.16439043
284	11.16268809
285	11.16114984
286	11.15971331
287	11.15848064
288	11.15727441
289	11.15616841
290	11.15530891
291	11.15422375
292	11.15304053
293	11.15103829
294	11.14996325
295	11.1491674
296	11.14751642
297	11.14536742
298	11.14361204
299	11.14123351
300	11.14007489
301	11.13837151
302	11.13637719
303	11.13424029
304	11.13243989
305	11.13175255
306	11.12960281
307	11.12826477
308	11.12686831
309	11.1246815
310	11.12314222
311	11.12163974
312	11.12089685
313	11.12007293
314	11.11890961
315	11.11711194
316	11.1153513
317	11.11453903
318	11.11404821
319	11.11322134
320	11.11122039
321	11.11025386
322	11.10980524
323	11.10909604
324	11.10809846
325	11.10718665
326	11.10644846
327	11.10419645
328	11.10353127
329	11.10259208
330	11.10164918
331	11.10102286
332	11.10029025
333	11.09895817
334	11.09772504
335	11.09720502
336	11.09555477
337	11.09379686
338	11.09205528
339	11.09026273
340	11.08858356
341	11.08674123
342	11.08617238
343	11.08451847
344	11.08288743
345	11.08131669
346	11.07980184
347	11.0787381
348	11.07766088
349	11.07614345
350	11.07479763
351	11.0735051
352	11.07297188
353	11.07223166
354	11.07152262
355	11.07001787
356	11.06907023
357	11.0684948
358	11.06729448
359	11.06527296
360	11.06438315
361	11.06359199
362	11.06217567
363	11.06122077
364	11.06010428
365	11.05908242
366	11.0575337
367	11.05690535
368	11.05546279
369	11.05441449
370	11.05403373
371	11.0530936
372	11.05238738
373	11.05161113
374	11.05103204
375	11.0501104
376	11.04964495
377	11.04865792
378	11.0477848
379	11.04712557
380	11.04553952
381	11.04463844
382	11.04405691
383	11.04341508
384	11.04296601
385	11.04253515
386	11.04205064
387	11.04148908
388	11.04078657
389	11.04028107
390	11.03904075
391	11.03858479
392	11.03752372
393	11.0364838
394	11.03572117
395	11.03472964
396	11.03333294
397	11.03240833
398	11.0313919
399	11.03084354
400	11.02994846
401	11.02938388
402	11.02856548
403	11.02762996
404	11.02687085
405	11.0260698
406	11.02556809
407	11.02514517
408	11.02431178
409	11.02336679
410	11.02234518
411	11.02170136
412	11.02097606
413	11.02024637
414	11.01970147
415	11.01908178
416	11.01829392
417	11.01789511
418	11.01754559
419	11.01639436
420	11.01531874
421	11.01429713
422	11.01352011
423	11.01274124
424	11.01162839
425	11.01037405
426	11.00994328
427	11.00945133
428	11.00851685
429	11.00790988
430	11.00743166
431	11.00656999
432	11.00578672
433	11.00508336
434	11.00453052
435	11.00389404
436	11.00267473
437	11.0022345
438	11.00135936
439	11.00095081
440	11.000274
441	10.9996846
442	10.99918671
443	10.99872942
444	10.99755461
445	10.9968124
446	10.9962989
447	10.99568036
448	10.99495336
449	10.99466097
450	10.99368051
451	10.99338803
452	10.99287708
453	10.99248607
454	10.99209347
455	10.99157529
456	10.99053781
457	10.99002792
458	10.98948867
459	10.98863083
460	10.98823055
461	10.98774796
462	10.98747524
463	10.98724053
464	10.98674466
465	10.98621793
466	10.98569799
467	10.98477951
468	10.98428149
469	10.983698
470	10.98270923
471	10.98251404
472	10.98173968
473	10.98081281
474	10.98016785
475	10.97928234
476	10.97891188
477	10.97845409
478	10.97794933
479	10.97733009
480	10.97664159
481	10.97613059
482	10.97561135
483	10.97482334
484	10.97398794
485	10.97344032
486	10.9728166
487	10.972378
488	10.97177672
489	10.97100589
